course_name,tsne_1,tsne_2,color,link,total_enrollment,rating
Acupressure For Emergency: Pressure Points 4 Fast Self-Help!,4.10147730339,3.22130617156,#f98174,https://www.udemy.com/acupressure-for-emergency-pressure-points-for-fast-self-help-healing/,2416,0
Guitarra Desde Cero - PARTE 1,4.10132714774,3.22161984657,#f98174,https://www.udemy.com/guitarra-desde-cero-parte-1-curso-de-guitarra-principiantes/,411,100
Emprendimiento Sostenible: Caja de Herramientas,4.10147639481,3.22108959547,#f98174,https://www.udemy.com/emprendimiento-sostenible-caja-de-herramientas/,281,90
Aprende a Ganar Dinero en la Bolsa,4.10147286253,3.22109534552,#f98174,https://www.udemy.com/aprende-a-ganar-dinero-en-la-bolsa/,37,100
Habilidades de negociación y persuasión,4.10148135085,3.22355116066,#f98174,https://www.udemy.com/habilidades-de-negociacion-y-persuasion/,0,0
Meditación Para Todos: Como Meditar Fácil y Profundo.,4.10147558173,3.22109876843,#f98174,https://www.udemy.com/secretos-para-una-meditacion-profunda-y-facil/,0,0
Comunica con Éxito para Lograr tus Objetivos,4.10147747343,3.22160217841,#f98174,https://www.udemy.com/comunica-con-exito-para-lograr-tus-objetivos/,0,0
"Curso Laravel 4, framework php rapido, potente y divertido. ",4.10147359952,3.22152678303,#f98174,https://www.udemy.com/laravel-4-framework-php-espanol-curso-rapido-potente-y-divertido/,88,71
Como ser Excelente Alumno,4.10147839255,3.22130404015,#f98174,https://www.udemy.com/como-ser-excelente-alumno/,-1,0
El Método Harvard de Negociación,4.10149843829,3.21634683844,#f98174,https://www.udemy.com/el-metodo-harvard-de-negociacion/,0,0
Factorización usando la Regla de Ruffini-Curso Introductorio,4.10147679422,3.22109833551,#f98174,https://www.udemy.com/factorizacion-usando-la-regla-de-ruffini-curso-introductorio/,0,0
Pitching Eficaz (III) - Proyectos Audiovisuales,4.10153070202,3.22130439773,#f98174,https://www.udemy.com/pitching-eficaz-iii-proyectos-audiovisuales/,3,0
